t,px,py,pz,qw,qx,qy,qz
8.791667,0.457685,0.120406,0.381399,-0.329002,0.382594,0.825256,0.253638
8.8,0.453535,0.122283,0.377605,-0.323908,0.383675,0.826694,0.25388
8.808333,0.452375,0.123779,0.377647,-0.322878,0.395,0.815465,0.273388
8.816667,0.449796,0.125425,0.375624,-0.322805,0.400468,0.809309,0.283621
8.825,0.447467,0.126877,0.373243,-0.323969,0.406266,0.802253,0.293907
8.833333,0.445179,0.12816,0.370804,-0.326877,0.409998,0.795125,0.304679
8.841667,0.443216,0.129177,0.368223,-0.327272,0.413479,0.78854,0.316436
8.85,0.441277,0.130211,0.365197,-0.334778,0.415006,0.781133,0.324846
8.858333,0.439475,0.130941,0.362349,-0.341234,0.414496,0.773402,0.337048
8.866667,0.438373,0.13167,0.359028,-0.352554,0.418431,0.762253,0.345821
8.875,0.436547,0.132441,0.356032,-0.356783,0.414657,0.756367,0.358711
8.883333,0.435507,0.132748,0.352661,-0.356739,0.415889,0.749993,0.370519
8.891667,0.433746,0.133742,0.348843,-0.375908,0.415116,0.736206,0.379964
8.9,0.432127,0.134645,0.345175,-0.383647,0.415541,0.727768,0.387936
8.908333,0.430421,0.135374,0.341799,-0.389105,0.415173,0.720361,0.396622
8.916667,0.42795,0.1358,0.340105,-0.391344,0.410396,0.713029,0.412328
8.925,0.425509,0.136671,0.337934,-0.38912,0.411797,0.707909,0.421751
8.933333,0.422951,0.137391,0.336916,-0.388489,0.413915,0.701806,0.430371
8.941667,0.420203,0.138781,0.335794,-0.388817,0.423687,0.697079,0.428242
8.95,0.417036,0.139786,0.335994,-0.382742,0.43212,0.692525,0.432654
8.958333,0.413567,0.140873,0.336777,-0.377189,0.441078,0.687826,0.435974
8.966667,0.410158,0.142309,0.337156,-0.371729,0.455283,0.682842,0.433891
8.975,0.406199,0.143629,0.338701,-0.367022,0.466397,0.676245,0.436419
8.983333,0.402095,0.145532,0.339942,-0.357939,0.480775,0.671711,0.435361
8.991667,0.398006,0.147725,0.341253,-0.351207,0.497218,0.663444,0.435052
9.0,0.393786,0.1504,0.342604,-0.342821,0.51457,0.653586,0.436483
9.008333,0.389466,0.153483,0.344262,-0.33643,0.530844,0.641115,0.440444
9.016667,0.385169,0.157055,0.345271,-0.325458,0.547862,0.630187,0.443609
9.025,0.381561,0.160873,0.345818,-0.317961,0.567522,0.614722,0.446023
9.033333,0.37806,0.164978,0.346172,-0.309336,0.586082,0.600412,0.447576
